sep=,
"Nombre","Saldo actual","Cuentas","Transferencias","Descripción","Beneficiario","Categoría","Fecha","Hora","Memoria","Importe","Moneda","Número de cheque","Etiquetas","Saldo"
"Roboadvisor","4595,19","EUR","","","","","","","","","","","",""
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","08/12/2023","23:37","","36,33","EUR","","Pablo; ","2049,66"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","04/12/2023","12:25","","45,00","EUR","","Pablo; ","2013,33"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","03/12/2023","11:02","","3,03","EUR","","Pablo; ","1968,33"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/11/2023","9:45","","4,12","EUR","","Pablo; ","1965,30"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","27/11/2023","18:16","","45,00","EUR","","Pablo; ","1961,18"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","24/11/2023","21:40","","11,22","EUR","","Pablo; ","1916,18"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","20/11/2023","21:08","","45,00","EUR","","Pablo; ","1904,96"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","18/11/2023","10:03","","25,70","EUR","","Pablo; ","1859,96"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","13/11/2023","8:38","","45,00","EUR","","Pablo; ","1834,26"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","12/11/2023","8:29","","7,30","EUR","","Pablo; ","1789,26"
"","","Roboadvisor","","Roboadvisor","","Inversiones Ingresos > Roboadvisor","06/11/2023","15:08","","45,00","EUR","","Pablo; ","1781,96"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","05/11/2023","13:01","","36,62","EUR","","Pablo; ","1736,96"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/10/2023","20:01","","0,92","EUR","","Pablo; ","1700,34"
"","","Roboadvisor","","Fondos","","Inversiones Ingresos > Roboadvisor","30/10/2023","17:32","","50,00","EUR","","Pablo; ","1699,42"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","28/10/2023","12:00","","-22,65","EUR","","Pablo; ","1649,42"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","22/10/2023","9:39","","-31,95","EUR","","Pablo; ","1672,07"
"","","Roboadvisor","","Fondos","","Inversiones Ingresos > Roboadvisor","16/10/2023","21:18","","50,00","EUR","","Pablo; ","1704,02"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","14/10/2023","20:01","","25,82","EUR","","Pablo; ","1654,02"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","07/10/2023","19:11","","-14,99","EUR","","Pablo; ","1628,20"
"","","Roboadvisor","","Fondos","","Inversiones Ingresos > Roboadvisor","02/10/2023","7:21","","50,00","EUR","","Pablo; ","1643,19"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","30/09/2023","7:20","","-3,35","EUR","","Pablo; ","1593,19"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","24/09/2023","10:58","","-48,09","EUR","","Pablo; ","1596,54"
"","","Roboadvisor","","Fondos","","Inversiones Ingresos > Roboadvisor","20/09/2023","9:01","","50,00","EUR","","Pablo; ","1644,63"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","16/09/2023","7:00","","23,28","EUR","","Pablo; ","1594,63"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","09/09/2023","13:00","","0,62","EUR","","Pablo; ","1571,35"
"","","Roboadvisor","","Fondos","","Inversiones Ingresos > Roboadvisor","04/09/2023","16:31","","50,00","EUR","","Pablo; ","1570,73"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","03/09/2023","22:22","","-0,18","EUR","","Pablo; ","1520,73"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","01/09/2023","23:29","","4,62","EUR","","Pablo; ","1520,91"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","31/08/2023","12:19","","25,76","EUR","","Pablo; ","1516,29"
"","","Roboadvisor","","Roboadvisor","","Pasivos > Activos financieros > Roboadvisor","26/08/2023","15:59","","11,41","EUR","","Pablo; ","1490,53"
"","","Roboadvisor","","Fondos","","Inversiones Ingresos > Roboadvisor","23/08/2023","9:41","","50,00","EUR","","Pablo; ","1479,12"
